القطاع,اسم المنتج,التصنيف الرئيسي,التصنيف الفرعي,التصنيف المحاسبي الرئيسي,التصنيف المحاسبي الفرعي
المقاولات والإنشاءات,أجور عمال تركيب أنظمة تبريد,تكاليف العمل,أجور عمالة,تكاليف مباشرة,أجور عمالة المواقع
المقاولات والإنشاءات,أجور عمال تركيب أنظمة كهربائية,تكاليف العمل,أجور عمالة,تكاليف مباشرة,أجور عمالة المواقع
المقاولات والإنشاءات,أجور عمال تركيب أنظمة سباكة,تكاليف العمل,أجور عمالة,تكاليف مباشرة,أجور عمالة المواقع
المقاولات والإنشاءات,تصميم الهيكل الإنشائي,تكاليف العمالة,مهندسو الموقع,تكاليف مباشرة,رواتب المهندسين بالموقع
المقاولات والإنشاءات,مراقبة الجودة,تكاليف الإشراف,مهندسو الموقع,تكاليف مباشرة,رواتب المهندسين بالموقع
المقاولات والإنشاءات,إدارة الموقع,تكاليف الإدارة,مهندسو الموقع,تكاليف مباشرة,رواتب المهندسين بالموقع
المقاولات والإنشاءات,إعداد التقارير الفنية,تكاليف الوثائق,مهندسو الموقع,تكاليف مباشرة,رواتب المهندسين بالموقع
المقاولات والإنشاءات,تخطيط المشروع,تكاليف التخطيط,مهندسو الموقع,تكاليف مباشرة,رواتب المهندسين بالموقع
المقاولات والإنشاءات,متابعة التنفيذ,تكاليف الإشراف,مهندسو الموقع,تكاليف مباشرة,رواتب المهندسين بالموقع
المقاولات والإنشاءات,تقييم المخاطر,تكاليف السلامة,مهندسو الموقع,تكاليف مباشرة,رواتب المهندسين بالموقع
المقاولات والإنشاءات,تنسيق الفرق,تكاليف التنسيق,مهندسو الموقع,تكاليف مباشرة,رواتب المهندسين بالموقع
المقاولات والإنشاءات,فحص المواد,تكاليف الفحص,مهندسو الموقع,تكاليف مباشرة,رواتب المهندسين بالموقع
المقاولات والإنشاءات,تطوير الحلول الهندسية,تكاليف التطوير,مهندسو الموقع,تكاليف مباشرة,رواتب المهندسين بالموقع
المقاولات والإنشاءات,إدارة المخزون,تكاليف الإدارة,مهندسو الموقع,تكاليف مباشرة,رواتب المهندسين بالموقع
المقاولات والإنشاءات,الإشراف على السلامة,تكاليف السلامة,مهندسو الموقع,تكاليف مباشرة,رواتب المهندسين بالموقع
المقاولات والإنشاءات,مراجعة التصميمات,تكاليف المراجعة,مهندسو الموقع,تكاليف مباشرة,رواتب المهندسين بالموقع
المقاولات والإنشاءات,تدريب العمال,تكاليف التدريب,مهندسو الموقع,تكاليف مباشرة,رواتب المهندسين بالموقع
المقاولات والإنشاءات,تحليل التكلفة,تكاليف التحليل,مهندسو الموقع,تكاليف مباشرة,رواتب المهندسين بالموقع
المقاولات والإنشاءات,تخطيط الموارد,تكاليف التخطيط,مهندسو الموقع,تكاليف مباشرة,رواتب المهندسين بالموقع
المقاولات والإنشاءات,متابعة الجودة,تكاليف الإشراف,مهندسو الموقع,تكاليف مباشرة,رواتب المهندسين بالموقع
المقاولات والإنشاءات,إعداد جداول العمل,تكاليف التخطيط,مهندسو الموقع,تكاليف مباشرة,رواتب المهندسين بالموقع
المقاولات والإنشاءات,تقييم الأداء,تكاليف التقييم,مهندسو الموقع,تكاليف مباشرة,رواتب المهندسين بالموقع
المقاولات والإنشاءات,إعداد الميزانيات,تكاليف الإدارة,مهندسو الموقع,تكاليف مباشرة,رواتب المهندسين بالموقع
المقاولات والإنشاءات,أعمال الحفر والتسوية,خدمات,أعمال الحفر,تكاليف مباشرة,تكلفة مقاولي الباطن
المقاولات والإنشاءات,تركيب الهيكل الحديدي,خدمات,تركيب الهياكل,تكاليف مباشرة,تكلفة مقاولي الباطن
المقاولات والإنشاءات,أعمال الخرسانة المسلحة,خدمات,صب الخرسانة,تكاليف مباشرة,تكلفة مقاولي الباطن
المقاولات والإنشاءات,تركيب الأسقف,خدمات,تركيب الأسقف,تكاليف مباشرة,تكلفة مقاولي الباطن
المقاولات والإنشاءات,أعمال العزل المائي,خدمات,عزل الأسطح,تكاليف مباشرة,تكلفة مقاولي الباطن
المقاولات والإنشاءات,تركيب أنظمة التكييف,خدمات,تركيب أنظمة التكييف,تكاليف مباشرة,تكلفة مقاولي الباطن
المقاولات والإنشاءات,أعمال الدهانات الداخلية,خدمات,الدهانات,تكاليف مباشرة,تكلفة مقاولي الباطن
المقاولات والإنشاءات,تركيب أبواب ونوافذ,خدمات,تركيب الأبواب والنوافذ,تكاليف مباشرة,تكلفة مقاولي الباطن
المقاولات والإنشاءات,تمديدات الكهرباء,خدمات,الأعمال الكهربائية,تكاليف مباشرة,تكلفة مقاولي الباطن
المقاولات والإنشاءات,أعمال السباكة,خدمات,أعمال السباكة,تكاليف مباشرة,تكلفة مقاولي الباطن
المقاولات والإنشاءات,تركيب الأرضيات,خدمات,تركيب الأرضيات,تكاليف مباشرة,تكلفة مقاولي الباطن
المقاولات والإنشاءات,أعمال التشطيبات الداخلية,خدمات,التشطيبات,تكاليف مباشرة,تكلفة مقاولي الباطن
المقاولات والإنشاءات,تركيب أنظمة الإضاءة,خدمات,تركيب الإضاءة,تكاليف مباشرة,تكلفة مقاولي الباطن
المقاولات والإنشاءات,أعمال التمديدات الصحية,خدمات,تمديدات صحية,تكاليف مباشرة,تكلفة مقاولي الباطن
المقاولات والإنشاءات,تركيب أنظمة الحماية,خدمات,أنظمة الحماية,تكاليف مباشرة,تكلفة مقاولي الباطن
المقاولات والإنشاءات,أعمال التشجير والتنسيق,خدمات,تنسيق الحدائق,تكاليف مباشرة,تكلفة مقاولي الباطن
المقاولات والإنشاءات,تركيب أنظمة التهوية,خدمات,تركيب التهوية,تكاليف مباشرة,تكلفة مقاولي الباطن
المقاولات والإنشاءات,أعمال الترميم والصيانة,خدمات,الترميم,تكاليف مباشرة,تكلفة مقاولي الباطن
المقاولات والإنشاءات,تركيب أنظمة الإنذار,خدمات,أنظمة الإنذار,تكاليف مباشرة,تكلفة مقاولي الباطن
المقاولات والإنشاءات,أعمال الحفر بالآليات الثقيلة,خدمات,الحفر بالآليات,تكاليف مباشرة,تكلفة مقاولي الباطن
المقاولات والإنشاءات,تأجير رافعات برجية,تكاليف مباشرة,إيجار معدات ثقيلة,تكاليف مباشرة,إيجار معدات وآليات
المقاولات والإنشاءات,إيجار حفارات زحافة,تكاليف مباشرة,إيجار معدات ثقيلة,تكاليف مباشرة,إيجار معدات وآليات
المقاولات والإنشاءات,استئجار شاحنات قلابة,تكاليف مباشرة,إيجار نقل داخلي,تكاليف مباشرة,إيجار معدات وآليات
المقاولات والإنشاءات,إيجار خلاطات خرسانة,تكاليف مباشرة,إيجار معدات خلط,تكاليف مباشرة,إيجار معدات وآليات
المقاولات والإنشاءات,تأجير معدات رفع,تكاليف مباشرة,إيجار معدات رفع,تكاليف مباشرة,إيجار معدات وآليات
المقاولات والإنشاءات,استئجار مولدات كهربائية,تكاليف مباشرة,إيجار معدات كهربائية,تكاليف مباشرة,إيجار معدات وآليات
المقاولات والإنشاءات,إيجار مضخات مياه,تكاليف مباشرة,إيجار معدات مضخات,تكاليف مباشرة,إيجار معدات وآليات
المقاولات والإنشاءات,تأجير لوادر,تكاليف مباشرة,إيجار معدات تحميل,تكاليف مباشرة,إيجار معدات وآليات
المقاولات والإنشاءات,استئجار معدات تسوية أرض,تكاليف مباشرة,إيجار معدات تمهيد,تكاليف مباشرة,إيجار معدات وآليات
المقاولات والإنشاءات,إيجار معدات حفر أنفاق,تكاليف مباشرة,إيجار معدات حفر متخصصة,تكاليف مباشرة,إيجار معدات وآليات
المقاولات والإنشاءات,تأجير عربات نقل مواد,تكاليف مباشرة,إيجار معدات نقل,تكاليف مباشرة,إيجار معدات وآليات
المقاولات والإنشاءات,استئجار جرافات,تكاليف مباشرة,إيجار معدات ثقيلة,تكاليف مباشرة,إيجار معدات وآليات
المقاولات والإنشاءات,إيجار معدات قطع الحديد,تكاليف مباشرة,إيجار معدات قص,تكاليف مباشرة,إيجار معدات وآليات
المقاولات والإنشاءات,تأجير مناولات,تكاليف مباشرة,إيجار معدات مناولة,تكاليف مباشرة,إيجار معدات وآليات
المقاولات والإنشاءات,استئجار رافعات شوكية,تكاليف مباشرة,إيجار معدات مناولة,تكاليف مباشرة,إيجار معدات وآليات
المقاولات والإنشاءات,إيجار معدات تثبيت,تكاليف مباشرة,إيجار معدات تثبيت,تكاليف مباشرة,إيجار معدات وآليات
المقاولات والإنشاءات,تأجير معدات حفر آبار,تكاليف مباشرة,إيجار معدات حفر,تكاليف مباشرة,إيجار معدات وآليات
المقاولات والإنشاءات,استئجار معدات نقل ثقيلة,تكاليف مباشرة,إيجار معدات نقل,تكاليف مباشرة,إيجار معدات وآليات
المقاولات والإنشاءات,إيجار معدات تسقيف,تكاليف مباشرة,إيجار معدات بناء,تكاليف مباشرة,إيجار معدات وآليات
المقاولات والإنشاءات,تأجير معدات صيانة الطرق,تكاليف مباشرة,إيجار معدات صيانة,تكاليف مباشرة,إيجار معدات وآليات
المقاولات والإنشاءات,وقود ديزل لمولدات الكهرباء,تكاليف مباشرة,محروقات,تكاليف مباشرة,محروقات وصيانة معدات
المقاولات والإنشاءات,زيت تشحيم لمحركات الحفارات,تكاليف مباشرة,صيانة,تكاليف مباشرة,محروقات وصيانة معدات
المقاولات والإنشاءات,بنزين لمعدات النقل الداخلي,تكاليف مباشرة,محروقات,تكاليف مباشرة,محروقات وصيانة معدات
المقاولات والإنشاءات,خدمة صيانة دورية للرافعات,تكاليف مباشرة,صيانة,تكاليف مباشرة,محروقات وصيانة معدات
المقاولات والإنشاءات,فلتر هواء لمعدات الحفر,تكاليف مباشرة,صيانة,تكاليف مباشرة,محروقات وصيانة معدات
المقاولات والإنشاءات,وقود ديزل لآليات الحفر,تكاليف مباشرة,محروقات,تكاليف مباشرة,محروقات وصيانة معدات
المقاولات والإنشاءات,تغيير زيوت المحركات الثقيلة,تكاليف مباشرة,صيانة,تكاليف مباشرة,محروقات وصيانة معدات
المقاولات والإنشاءات,بطاريات لمعدات الرفع,تكاليف مباشرة,صيانة,تكاليف مباشرة,محروقات وصيانة معدات
المقاولات والإنشاءات,وقود لمعدات النقل الثقيل,تكاليف مباشرة,محروقات,تكاليف مباشرة,محروقات وصيانة معدات
المقاولات والإنشاءات,صيانة محركات الحفارات,تكاليف مباشرة,صيانة,تكاليف مباشرة,محروقات وصيانة معدات
المقاولات والإنشاءات,زيوت هيدروليكية للآليات,تكاليف مباشرة,صيانة,تكاليف مباشرة,محروقات وصيانة معدات
المقاولات والإنشاءات,وقود لمولدات الإنارة,تكاليف مباشرة,محروقات,تكاليف مباشرة,محروقات وصيانة معدات
المقاولات والإنشاءات,صيانة دورية لمعدات الرفع,تكاليف مباشرة,صيانة,تكاليف مباشرة,محروقات وصيانة معدات
المقاولات والإنشاءات,فلتر زيت لمحركات الديزل,تكاليف مباشرة,صيانة,تكاليف مباشرة,محروقات وصيانة معدات
المقاولات والإنشاءات,وقود لمعدات الحفر الأرضي,تكاليف مباشرة,محروقات,تكاليف مباشرة,محروقات وصيانة معدات
المقاولات والإنشاءات,خدمة تشحيم آليات البناء,تكاليف مباشرة,صيانة,تكاليف مباشرة,محروقات وصيانة معدات
المقاولات والإنشاءات,صيانة نظام التبريد للآليات,تكاليف مباشرة,صيانة,تكاليف مباشرة,محروقات وصيانة معدات
المقاولات والإنشاءات,وقود لمعدات النقل الثقيلة,تكاليف مباشرة,محروقات,تكاليف مباشرة,محروقات وصيانة معدات
المقاولات والإنشاءات,تغيير فلاتر الوقود للمعدات,تكاليف مباشرة,صيانة,تكاليف مباشرة,محروقات وصيانة معدات
المقاولات والإنشاءات,صيانة دورية لمحركات الديزل,تكاليف مباشرة,صيانة,تكاليف مباشرة,محروقات وصيانة معدات
المقاولات والإنشاءات,وجبات غذائية للعمال,تكاليف تشغيلية,مصاريف يومية,تكاليف مباشرة,مصاريف إعاشة وتنقلات
المقاولات والإنشاءات,نقل الموظفين للموقع,تكاليف تشغيلية,مصاريف نقل,تكاليف مباشرة,مصاريف إعاشة وتنقلات
المقاولات والإنشاءات,سكن العمال المؤقت,تكاليف تشغيلية,مصاريف سكن,تكاليف مباشرة,مصاريف إعاشة وتنقلات
المقاولات والإنشاءات,تأمين وجبات الغداء,تكاليف تشغيلية,مصاريف إعاشة,تكاليف مباشرة,مصاريف إعاشة وتنقلات
المقاولات والإنشاءات,إيجار حافلات النقل,تكاليف تشغيلية,مصاريف نقل,تكاليف مباشرة,مصاريف إعاشة وتنقلات
المقاولات والإنشاءات,توفير مياه شرب للعمال,تكاليف تشغيلية,مصاريف إعاشة,تكاليف مباشرة,مصاريف إعاشة وتنقلات
المقاولات والإنشاءات,مصاريف وقود سيارات النقل,تكاليف تشغيلية,مصاريف نقل,تكاليف مباشرة,مصاريف إعاشة وتنقلات
المقاولات والإنشاءات,وجبات خفيفة للعمال,تكاليف تشغيلية,مصاريف يومية,تكاليف مباشرة,مصاريف إعاشة وتنقلات
المقاولات والإنشاءات,بدل تنقلات العمال,تكاليف تشغيلية,مصاريف نقل,تكاليف مباشرة,مصاريف إعاشة وتنقلات
المقاولات والإنشاءات,استئجار معدات نقل,تكاليف تشغيلية,مصاريف نقل,تكاليف مباشرة,مصاريف إعاشة وتنقلات
المقاولات والإنشاءات,توفير سكن مؤقت للمشرفين,تكاليف تشغيلية,مصاريف سكن,تكاليف مباشرة,مصاريف إعاشة وتنقلات
المقاولات والإنشاءات,مصاريف سيارات الخدمة,تكاليف تشغيلية,مصاريف نقل,تكاليف مباشرة,مصاريف إعاشة وتنقلات
المقاولات والإنشاءات,وجبات طعام للمشرفين,تكاليف تشغيلية,مصاريف إعاشة,تكاليف مباشرة,مصاريف إعاشة وتنقلات
المقاولات والإنشاءات,بدل سفر للمشاريع,تكاليف تشغيلية,مصاريف نقل,تكاليف مباشرة,مصاريف إعاشة وتنقلات
المقاولات والإنشاءات,مصاريف إيواء العمال,تكاليف تشغيلية,مصاريف سكن,تكاليف مباشرة,مصاريف إعاشة وتنقلات
المقاولات والإنشاءات,مصاريف تأمين التنقلات,تكاليف تشغيلية,مصاريف نقل,تكاليف مباشرة,مصاريف إعاشة وتنقلات
المقاولات والإنشاءات,وجبات غذائية للمقاولين,تكاليف تشغيلية,مصاريف يومية,تكاليف مباشرة,مصاريف إعاشة وتنقلات
المقاولات والإنشاءات,استئجار سيارات للموظفين,تكاليف تشغيلية,مصاريف نقل,تكاليف مباشرة,مصاريف إعاشة وتنقلات
المقاولات والإنشاءات,توفير مستلزمات إعاشة,تكاليف تشغيلية,مصاريف إعاشة,تكاليف مباشرة,مصاريف إعاشة وتنقلات
المقاولات والإنشاءات,بدل تنقلات المعدات,تكاليف تشغيلية,مصاريف نقل,تكاليف مباشرة,مصاريف إعاشة وتنقلات
المقاولات والإنشاءات,تصاريح بناء,تكاليف مباشرة,رسوم إصدار,تكاليف مباشرة,رسوم حكومية للمشروع
المقاولات والإنشاءات,رسوم فحص موقع,تكاليف مباشرة,رسوم تفتيش,تكاليف مباشرة,رسوم حكومية للمشروع
المقاولات والإنشاءات,رسوم رخصة تشغيل,تكاليف مباشرة,رسوم ترخيص,تكاليف مباشرة,رسوم حكومية للمشروع
المقاولات والإنشاءات,رسوم تسجيل المشروع,تكاليف مباشرة,رسوم تسجيل,تكاليف مباشرة,رسوم حكومية للمشروع
المقاولات والإنشاءات,رسوم تفتيش السلامة,تكاليف مباشرة,رسوم تفتيش,تكاليف مباشرة,رسوم حكومية للمشروع
المقاولات والإنشاءات,رسوم تقييم بيئي,تكاليف مباشرة,رسوم تقييم,تكاليف مباشرة,رسوم حكومية للمشروع
المقاولات والإنشاءات,رسوم تصريح الحفر,تكاليف مباشرة,رسوم إصدار,تكاليف مباشرة,رسوم حكومية للمشروع
المقاولات والإنشاءات,رسوم تفويض استيراد مواد,تكاليف مباشرة,رسوم استيراد,تكاليف مباشرة,رسوم حكومية للمشروع
المقاولات والإنشاءات,رسوم رخصة معدات ثقيلة,تكاليف مباشرة,رسوم ترخيص,تكاليف مباشرة,رسوم حكومية للمشروع
المقاولات والإنشاءات,رسوم تصريح العمل,تكاليف مباشرة,رسوم إصدار,تكاليف مباشرة,رسوم حكومية للمشروع
المقاولات والإنشاءات,رسوم اعتماد مخططات,تكاليف مباشرة,رسوم اعتماد,تكاليف مباشرة,رسوم حكومية للمشروع
المقاولات والإنشاءات,رسوم فحص جودة مواد,تكاليف مباشرة,رسوم فحص,تكاليف مباشرة,رسوم حكومية للمشروع
المقاولات والإنشاءات,رسوم تصريح نقل معدات,تكاليف مباشرة,رسوم نقل,تكاليف مباشرة,رسوم حكومية للمشروع
المقاولات والإنشاءات,رسوم فحص السلامة المهنية,تكاليف مباشرة,رسوم تفتيش,تكاليف مباشرة,رسوم حكومية للمشروع
المقاولات والإنشاءات,رسوم رخصة استيراد معدات,تكاليف مباشرة,رسوم استيراد,تكاليف مباشرة,رسوم حكومية للمشروع
المقاولات والإنشاءات,رسوم إصدار شهادة مطابقة,تكاليف مباشرة,رسوم شهادة,تكاليف مباشرة,رسوم حكومية للمشروع
المقاولات والإنشاءات,رسوم تفتيش هندسي,تكاليف مباشرة,رسوم تفتيش,تكاليف مباشرة,رسوم حكومية للمشروع
المقاولات والإنشاءات,رسوم تسجيل عمالة,تكاليف مباشرة,رسوم تسجيل,تكاليف مباشرة,رسوم حكومية للمشروع
المقاولات والإنشاءات,رسوم رخصة تشغيل موقع,تكاليف مباشرة,رسوم ترخيص,تكاليف مباشرة,رسوم حكومية للمشروع
المقاولات والإنشاءات,رسوم تفتيش بيئي,تكاليف مباشرة,رسوم تفتيش,تكاليف مباشرة,رسوم حكومية للمشروع
المقاولات والإنشاءات,راتب مدير المشروع,مصاريف تشغيلية,رواتب الإدارة,مصاريف تشغيلية,رواتب الإدارة
المقاولات والإنشاءات,راتب مهندس الموقع,مصاريف تشغيلية,رواتب الإدارة,مصاريف تشغيلية,رواتب الإدارة
المقاولات والإنشاءات,راتب مدير الجودة,مصاريف تشغيلية,رواتب الإدارة,مصاريف تشغيلية,رواتب الإدارة
المقاولات والإنشاءات,راتب مدير السلامة,مصاريف تشغيلية,رواتب الإدارة,مصاريف تشغيلية,رواتب الإدارة
المقاولات والإنشاءات,راتب محاسب المشروع,مصاريف تشغيلية,رواتب الإدارة,مصاريف تشغيلية,رواتب الإدارة
المقاولات والإنشاءات,راتب مسؤول الموارد البشرية,مصاريف تشغيلية,رواتب الإدارة,مصاريف تشغيلية,رواتب الإدارة
المقاولات والإنشاءات,راتب سكرتير الإدارة,مصاريف تشغيلية,رواتب الإدارة,مصاريف تشغيلية,رواتب الإدارة
المقاولات والإنشاءات,راتب مهندس التصميم,مصاريف تشغيلية,رواتب الإدارة,مصاريف تشغيلية,رواتب الإدارة
المقاولات والإنشاءات,راتب مدير الصيانة,مصاريف تشغيلية,رواتب الإدارة,مصاريف تشغيلية,رواتب الإدارة
المقاولات والإنشاءات,راتب أخصائي الشراء,مصاريف تشغيلية,رواتب الإدارة,مصاريف تشغيلية,رواتب الإدارة
المقاولات والإنشاءات,راتب مدير التخطيط,مصاريف تشغيلية,رواتب الإدارة,مصاريف تشغيلية,رواتب الإدارة
المقاولات والإنشاءات,راتب مسؤول العقود,مصاريف تشغيلية,رواتب الإدارة,مصاريف تشغيلية,رواتب الإدارة
المقاولات والإنشاءات,راتب مدير المشروع المساعد,مصاريف تشغيلية,رواتب الإدارة,مصاريف تشغيلية,رواتب الإدارة
المقاولات والإنشاءات,راتب منسق الموقع,مصاريف تشغيلية,رواتب الإدارة,مصاريف تشغيلية,رواتب الإدارة
المقاولات والإنشاءات,راتب مدير الموارد البشرية,مصاريف تشغيلية,رواتب الإدارة,مصاريف تشغيلية,رواتب الإدارة
المقاولات والإنشاءات,راتب مدير المالية,مصاريف تشغيلية,رواتب الإدارة,مصاريف تشغيلية,رواتب الإدارة
المقاولات والإنشاءات,راتب أخصائي السلامة المهنية,مصاريف تشغيلية,رواتب الإدارة,مصاريف تشغيلية,رواتب الإدارة
المقاولات والإنشاءات,راتب مدير المشتريات,مصاريف تشغيلية,رواتب الإدارة,مصاريف تشغيلية,رواتب الإدارة
المقاولات والإنشاءات,راتب مدير التسويق,مصاريف تشغيلية,رواتب الإدارة,مصاريف تشغيلية,رواتب الإدارة
